STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/1/2000,0,0,0,64,38
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/2/2000,0,0,0,64,42
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/3/2000,0,0,0,69,51
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/4/2000,0,0,0,72,56
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/5/2000,0.5,0,0,71,37
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/6/2000,0,0,0,45,29
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/7/2000,0.13,0,0,50,31
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/8/2000,0,0,0,57,34
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/9/2000,0.14,0,0,52,34
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/10/2000,1.17,0,0,59,41
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/11/2000,0.49,0,0,65,49
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/12/2000,0,0,0,70,38
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/13/2000,0,0,0,59,39
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/14/2000,0,0,0,64,27
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/15/2000,0,0,0,37,23
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/16/2000,0,0,0,43,23
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/17/2000,0,0,0,62,32
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/18/2000,0.2,2,2,41,21
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/19/2000,0.06,0,2,28,21
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/20/2000,0.35,3,3,38,27
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/21/2000,0,0,2,43,21
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/22/2000,0,0,0,34,20
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/23/2000,0.1,0,1,32,21
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/24/2000,0.31,0,1,31,27
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/25/2000,1.08,11,11,35,26
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/26/2000,0.15,3,14,30,16
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/27/2000,0,0,12,29,14
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/28/2000,0,0,12,28,12
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/29/2000,0,0,8,36,12
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/30/2000,0.17,0,7,35,20
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/31/2000,0.96,0,6,32,28
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/1/2000,0,0,6,35,24
