STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT04
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/1/2001,,,0,0,0,37,22,24,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/2/2001,,,0,0,0,40,24,26,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/3/2001,,,0,0,0,37,18,18,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/4/2001,,,0,0,0,59,19,25,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/5/2001,,,0,0,0,42,25,29,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/6/2001,,,0,0,0,50,29,33,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/7/2001,,,0,0,0,53,37,37,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/8/2001,,,0,0,0,57,42,42,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/9/2001,,,0.17,0,0,44,31,31,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/10/2001,,,0,0,0,38,26,28,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/11/2001,,,0,0,0,53,30,39,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/12/2001,,,0.03,0,0,62,26,44,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/13/2001,,,0.01,0,0,62,33,34,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/14/2001,,,0,0,0,53,33,42,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/15/2001,,,0.08,0,0,48,42,45,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/16/2001,,,0,0,0,63,44,44,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/17/2001,,,0,0,0,56,30,34,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/18/2001,,,0,0,0,49,35,42,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/19/2001,,,0.1,0,0,46,33,48,,,
